,month_year_day,scammer,total_value_to_binance_sum
0,2023-11-06,0x37abb3dda6b76890b2c3a2ca4020f14ba2717c24,0.3903608257043071
1,2023-11-07,0xa32a995a483d6a1c3c3ba3d6a1eb1e0ecf99458d,1.7796100112148936
2,2023-11-17,0x60a6f55c973e5511888a5e079f1d8f027d010ac4,3.1
3,2023-11-08,0x30a7378b1d10ffa663ac7c2fa5f54c0c8fb328ed,4.2
4,2023-11-06,0x1df65a6c47efbc7210b65158300c797e1b234171,47.49782342
5,2023-11-21,0x41e29c02713929f800419abe5770faa8a5b4dadc,0.9685
6,2023-11-03,0xd2aa575460bbc0b079a505e666a0b2a38a5550fe,0.199601540285984
7,2023-11-05,0x87edc43c1da8294627acc99759b27d2fbf46c52c,5.7637
8,2023-11-21,0x0c716b5ea22619046f867404f15685b5bfad795e,2.48640218560212
9,2023-11-21,0x9ec134850485092fb21e5807017212950ada1749,0.15
10,2023-11-15,0xd03c1d20c07b6335d31b71d5c423d3912fd10f4a,1.344
11,2023-11-05,0xb123894c3c0ce99b2a50b418769912df4d710609,0.999578444472922
12,2023-11-13,0x7ee923c747c5923ddb882f88cff232f4a9bbd195,0.0263590485821228
13,2023-11-05,0x38fa9ed7bccb6a40964aa06afd060feb5991476b,3.483029063
14,2023-11-23,0xd4e36f4e9f4a7727770126e8da866c01117d3d9f,0.6164275315409964
15,2023-11-28,0xe795d3de925c970cbef7c691f9c39505202afaca,6.4135100000000005
16,2023-11-12,0x0f89268c735445a38ea182d80bdc453428d68288,0.3
17,2023-11-03,0x21f299093aec6d4d235dd7a566f5abd121ca31e6,0.0041
18,2023-11-16,0x0b8eee646dc81a0cf7a66e6760725b291f2da9c2,1.4
19,2023-11-11,0xfc010942eb2e66a4b27de93a8ce992d0c7268977,1.0713974323179185
20,2023-11-14,0x0924075e996bcffed73139f73c31892c9373d720,7.3
21,2023-11-10,0x7ee923c747c5923ddb882f88cff232f4a9bbd195,0.0021509490845556
22,2023-11-01,0x453ad4ca04c8d2a37b21e0ad87eaa3e8b11d5363,0.0291767073870277
23,2023-11-13,0xf54bf88420ca9ac3b4eeba8c1d96a17ed66fd26f,0.05562
24,2023-11-13,0xa1a091cad34bc30cb28fee182f9e289758feaa41,5.114736150032896
25,2023-11-06,0x4d103648cb1ca7f0b053e388f7ff275a5b4c020b,2.179496
26,2023-11-29,0xa47da246e65616edba334df20856d52f05398e14,0.26
27,2023-11-10,0xedc17b914aa1168a7f6be8ce73e774c0c10ac122,0.0478144036109437
28,2023-11-15,0x38fa9ed7bccb6a40964aa06afd060feb5991476b,4.276229288
29,2023-11-23,0xec3dce7157f26949c790776821f75cec7c4699be,0.14
30,2023-11-22,0xc1ad4d5493fd32316d0158f313ad5faec4d76482,0.9711013008540992
31,2023-11-24,0x02b89fd6a45bb8c2f2de51130c6e9753c3b378d1,1.0
32,2023-11-28,0xffe15ff598e719d29dfe5e1d60be1a5521a779ae,79.688
33,2023-11-21,0x4364339d54b62cd39a7b6253e8a577faa69daabe,2.0
34,2023-11-09,0x3247852fd0315a47a8c13fa821bb291d7bb61d2f,1.6
35,2023-11-19,0xacbe420800b2db487be45c63fdf45f8ac615f93f,0.073
36,2023-11-26,0x46a8138b83c3567da83ddf2c41fb8a22c40d6de1,0.0057036849962022
